;Unnamed: 0;ID;descr;feat_balkon;feat_domofon / wideofon;feat_drzwi / okna antywłamaniowe;feat_internet;feat_pom. użytkowe;feat_telefon;feat_telewizja kablowa;feat_teren zamknięty;ov_Liczba pięter;ov_Liczba pokoi;ov_Piętro;ov_Powierzchnia;ov_Rodzaj zabudowy;ov_Rynek;ov_Czynsz;ov_Dostępne od;ov_Forma własności;ov_Materiał budynku;ov_Ogrzewanie;ov_Okna;ov_Rok budowy;ov_Stan wykończenia;feat_garaż/miejsce parkingowe;feat_ogródek;feat_piwnica;feat_taras;feat_winda;feat_monitoring / ochrona;feat_system alarmowy;feat_klimatyzacja;feat_oddzielna kuchnia;feat_kuchenka;feat_meble;feat_piekarnik;feat_lodówka;feat_zmywarka;feat_pralka;feat_dwupoziomowe;feat_telewizor;feat_rolety antywłamaniowe;feat_
4285;4285;44kFj;Do sprzedania:Mieszkanie zlokalizowane na Białołęce przy ul. Pomorskiej BUDYNEK/OSIEDLEMieszkanie znajduje się na parterze w 3 piętrowym budynku z windą Rok budowy: 2008NIERUCHOMOŚĆMieszkanie o powierzchni 74,15 m2 składa się z:- salonu- otwartej kuchni- 2 pokoi- przedpokoju- łazienki - toaletyPowierzchnia dodatkowa:- balkon  (z jednej strony podwyższony parter)- tarasMieszkanie własnościoweEkspozycja okien - północ, południeDodatkowo do mieszkania przynależy:- miejsce w garażu podziemnymOKOLICAW pobliżu:- przystanki komunikacji miejskiej,- sklepy,- las- galeria handlowa- poczta Zapraszam na prezentację nieruchomościBezpłatnie pomagamy znaleźć najkorzystniejszą na rynku ofertę kredytową.Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.Podana ulica nieruchomości przy ogłoszeniu ma na celu wskazania przybliżonej lokalizacji z dużą dokładnością.;1.0;;;1.0;;1.0;1.0;;3.0;3;parter;74,15 m²;blok;wtórny;600 zł;;pełna własność;;miejskie;plastikowe;2008.0;;1.0;;;;1.0;1.0;;;;;;;;;;;;;
4361;4361;42Woy;"2 pokojowe mieszkanie z widną kuchnią w pobliżu ulicy Foksal. Mieszkanie na parterze, dwustronne. Zadbany budynek. W budynku wymienione instalacje, odnowiona elewacja. ZapraszamBeata Puszczewiczte;.793-343-922RS REAL ESTATE ";1.0;;;;;;;;4.0;2;parter;53 m²;blok;wtórny;;;spółdzielcze własnościowe;;;;1965.0;;;;1.0;;;;;;;;;;;;;;;;
4434;4434;44bMA;"Wspaniała lokalizacja w Warszawie - mieszkanie znajduje się na ul. Marszałkowskiej nad kinem Luna, przy pl. Zbawiciela.
Kawalerka o niedużym metrażu, ale bardzo funkcjonalnym rozkładzie. Wysokość mieszkania to ok. 3,10 m. Mieszkanie posiada balkon i podwójne drzwi balkonowe przez co jest bardzo jasne.
Miesięczny czynsz wynosi 210 zł.
Mieszkanie znajduje się tylko 10 metrów od przystanku tramwajowego i około 300 metrów od stacja metra Politechnika 
Nie jestem zainteresowana współpracą z agencjami nieruchomości na wyłączność.";1.0;1.0;;;;;;1.0;6.0;1;5;16 m²;kamienica;wtórny;210 zł;;pełna własność;cegła;miejskie;plastikowe;1960.0;do zamieszkania;;;;;1.0;;;;;;;;;;;;;;
4490;4490;43lh8;Opis lokalu:Nowoczesne 2-pokojowe mieszkanie o powierzchni 54 m² na prestiżowym osiedlu na Górnym Mokotowie.W skład mieszkania wchodzi:- jasny salon z jadalnią,- aneks kuchenny,- sypialnia,- łazienka z wanną,- balkon.Ekspozycja okien na południowy zachód.Miejsce parkingowe w garażu podziemnym dodatkowo płatne 55 tyś. zł.Osiedle z dużym zielonym dziedzińcem, eleganckie klatki schodowe, monitoring, ochrona, sąsiedztwo Parku.Lokalizacja:Warszawa. Mokotów. W bliskiej odległości skrzyżowania Kulskiego z Wołoską.Ok. 10 minut od stacji metra Pole Mokotowskie.Serdecznie zapraszam do kontaktu! :)Niniejsza informacja nie stanowi oferty w rozumieniu Kodeksu Cywilnego. Dokładamy wszelkich starań, aby informacje dotyczące oferowanych obiektów były możliwie dokładne, kompletne i aktualne. Ze względu jednak na fakt, iż informacje te pochodzą od osób trzecich i nie zawsze dają się zweryfikować, firma KOLOSEUM NIERUCHOMOŚCI nie ponosi odpowiedzialności za ich dokładność, kompletność oraz aktualność. Numer licencji pośrednika odpowiedzialnego za ofertę: 19837;1.0;;;1.0;;1.0;1.0;;6.0;2;2;54 m²;apartamentowiec;wtórny;600 zł;2020-01-25;pełna własność;cegła;miejskie;drewniane;2009.0;do zamieszkania;1.0;;;;1.0;;;;;;1.0;;;;;;;;
4501;4501;443kE;"Wyjątkowy projekt w doskonale skomunikowanym punkcie – na pograniczu Mokotowa i Ursynowa!
Wysoki standard i ekologiczne rozwiązania!
 
(B0103)
Prezentujemy nowe 4-pokojowe mieszkanie usytuowane na 1. piętrze nowoczesnego budynku mieszczącego się przy ulicy Kłobuckiej, na pograniczu dwóch prestiżowych dzielnic – Mokotowa i Ursynowa.
Mieszkanie o powierzchni 89,47m2 składa się z salonu połączonego z aneksem kuchennym (26,49m2), trzech ustawnych sypialni (12,96m2, 12,36m2 i 16,02m2), łazienki (4,31m2) z osobną toaletą (1,60m2) oraz holu z miejscem na szafę wnękową (15,74m2).
Dodatkowym atutem są przynależne do mieszkania dwie loggia (5,15m2 i 5,25m2).
 
 
Nowoczesne osiedle mieszkaniowe powstaje w bardzo atrakcyjnej lokalizacji, w pobliżu toru wyścigów konnych Służewiec. Charakteryzuje je najwyższej jakości, elegancki design oraz aranżacja przestrzeni wspólnych w taki sposób, aby sprzyjały one integracji z innymi mieszkańcami oraz spędzaniu czasu na świeżym powietrzu.
Wizytówką projektu są otwarte ogrody na dachach budynków mieszkalnych zapewniające zachwycające widoki na Warszawę, a także prywatny park kieszonkowy, w którym każdy znajdzie miejsce na relaks w otoczeniu bogatej zieleni.
 
Dodatkowe atuty projektu:
- bogata infrastruktura usługowa (restauracje, sklepy i inne),
- blisko Galeria Mokotów i Lotnisko Chopina,
- 15 minut do Centrum Biznesowego Mokotowa,
- doskonała komunikacja z innymi dzielnicami (tuż obok bezpośredni autobus do Metra Wilanowska).
 
 
Komunikacja miejska:
- Bokserska (177 m)
Autobus: 138, 165, 174, 193, 365, N36
- Taborowa (267 m)
Autobus: 165
- Centrum Targowe (276 m)
Autobus: 365
- Gruszczyńskiego (464 m)
Autobus: 165
- Jadźwingów (652 m)
Autobus: 138, 174, 193, N36
-  PKP Warszawa Okęcie (544 m) -  PKP Warszawa Służewiec (1391 m)
 
Inwestycja w trakcie budowy.
 
Zakup bez 2% podatku PCC oraz bez prowizji!
 
W dalszym ciągu dostępne są inne rozkłady i metraże w tej inwestycji – zapraszamy do kontaktu.
Zapraszamy do kontaktu pod numerem telefonu: 662-969-687 lub przez formularz.
 
Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.";1.0;1.0;;;;;;1.0;10.0;4;1;89,47 m²;apartamentowiec;pierwotny;;;;inne;;;;do wykończenia;1.0;;;;1.0;1.0;;;;;;;;;;;;;
4533;4533;3Vyn6;Kup mieszkanie w super lokalizacji! Bardzo duży balkon!Bezpośrednio!Biura, proszę o nie kontaktowanie się.Odbierz klucze jeszcze w tym roku!Kup mieszkanie na zatopionym w zieleni osiedlu o wysokim standardzie.  Osiedle składa się z budynków odznaczających się elegancką nowoczesną elewacją. Standard i jakość najwyższe w tej okolicy! Mieszkanie o funkcjonalnym rozkładzie, sypialnia na planie kwadratu.  Otwarta widna kuchnia. Słoneczna, południowo - zachodnia strona świata. dwie sypialnie zapewniające komfort rodzinie. Do lokalu przynależy duża loggia.Kupującego chroni ustawa deweloperska, i co istotne: Osiedle budowane jest bez kredytu!Świetna lokalizacja, doskonała inwestycja pod najem, jak i do zamieszkania! Idealne miejsce dla rodzin z dziećmi. W okolicy liczne ścieżki rowerowe, miejsca zachęcające do spaceru i uprawiania Sportu. Spacerem do puszczy...Ponadto:Przy osiedlu przystanek autobusowy (linie miejskie 134, 120, 527, 304, N14)Szybki dojazd do trasy S8 oraz do Centrum. W okolicy wszystko co niezbędne do życia: przedszkola, żłobki, szkoły, teatr, centrum handlowe.Zadzwoń i umów się na spotkanie! Dostępne również inne rozkłady mieszkań 2 i 3 pokojowych!Oszczędź na prowizji i podatku PCC!Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.;1.0;1.0;;;;;;;2.0;3;1;58 m²;apartamentowiec;pierwotny;;;;;;plastikowe;2018.0;;;;;;1.0;1.0;;;;;;;;;;;;;
4692;4692;43WaW;Przedstawiamy Państwu na sprzedaż mieszkaniepo remoncie składające się z 4 pokoi, w tym 3 sypialni, salonu z aneksem kuchennym, łazienką z  oddzielnym wc, balkonu i przedpokoju z dużą szafą w zabudowie.Mieszkanie posiada nowe meble kuchenne wraz ze sprzętem agd, nowe meble w pokojach, a w tym dwie szafy w zabudowie i inne.W łazience wanna i prysznic.Na podłogach parkiet otaz płytki ceramiczne w kuchni i w łazience.Mieszkanie posiada klimatyzację.Z balkonu widok na patio.W cenie mieszkania garaż podziemny.Blok z 2008 roku, zadbany.W okolicy parki Archera oraz Czechowicki.Liczne sklepy osiedlowe, centrum handlowe, szkoły, żłobki, przychodnie itp. Bezpośrednio przy bloku przystanek autobusowy.Do stacji PKP 12min. pieszoGorąco zachęcam do prezentacji mieszkania.Krystyna Grzybek  24/7  tel. 609748093Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.;1.0;1.0;;1.0;;;1.0;;6.0;4;6;71 m²;blok;wtórny;790 zł;2019-12-13;pełna własność;;miejskie;plastikowe;2008.0;;1.0;;;;1.0;;;1.0;;;;;;;;;;;
4810;4810;439xE;Kameralne,przestronne, rozkładowe mieszkanie w dobrym stanie, wyposażone, gotowe do zamieszkania, na 3 piętrze w 3 piętrowym budynku z 1996 roku.Do mieszkania przynależy piwnica oraz miejsce parkingowe w hali garażowej płatne 25 000 zł.Mieszkanie składa się z:- salonu  z wyjściem na werandę,- dwóch sypialni,- łazienki,- przedpokoju z szafami,- kuchni z wyjściem na werandę, otwartej na salon - wcDobra komunikacja. W pobliżu szkoła podstawowa, apteka, autobus, bazarek osiedlowy, centrum handlowe, las, niska zabudowa, park, plac zabaw, poczta, policja, przedszkole, przychodnia, szkoła, tramwaj, żłobek.Zakup tylko za gotówkę, nieuregulowany grunt.Informacje zawarte w opisie nieruchomości nie stanowią oferty w rozumieniu Kodeksu Cywilnego. Dążymy do tego, aby informacje zawarte w opisach oferowanych przez nas nieruchomości były możliwie dokładne, kompletne i aktualne. Z uwagi jednak na fakt, iż czasami pochodzą one od osób trzecich i część z nich nie zawsze daje się zweryfikować, Ogrodowa Sp. z o.o. nie ponosi odpowiedzialności za ich dokładność, kompletność i aktualność. Zapraszamy do zapoznania się z ofertami specjalnymi: ;;;;;;;;;3.0;3;3;103,76 m²;blok;wtórny;1 006 zł;;spółdzielcze własnościowe;żelbet;miejskie;plastikowe;1996.0;do zamieszkania;1.0;;1.0;;;;;;;;;;;;;;;;
4816;4816;44lwf;Na sprzedaż dwupokojowe mieszkanie o pow. 44,3 m2 zlokalizowane na 1 piętrze w 4-piętrowym budynku w dzielnicy Śródmieście Północne. Atrakcyjna lokalizacja: w promieniu 150 m metro Plac Bankowy, przystanek tramwajowy, autobusowy, Stare Miasto 250m, szkoła podstawowa, przedszkole, sklepy.Na powierzchnię mieszkania składają się: salon z wyjściem na balkon (ekspozycja zachodnia), sypialnia, kuchnia, łazienka z wanną i WC, przedpokój. Do mieszkania przynależy piwnica. Możliwość parkowania samochodu na zewnętrznym parkingu dla mieszkańców. Lokal do odświeżenia. Koszty utrzymania: opłata administracyjna 680 PLN (w tym zaliczka na wodę, CO, gaz, wywóz śmieci, fundusz remontowy) + prąd  na podstawie wskazań licznika. Dane kontaktowe do agenta: Agnieszka Pankanin Tel: 888-889-659 E-mail: For service in English call Wojciech Rusin at: +48 692-016-094-Współpracujemy z doświadczonymi specjalistami finansowymi, oferującymi sprawdzenie zdolności kredytowej oraz przedstawienie oferty finansowania nieruchomości / Informacje dotyczące opisu nieruchomości podane są przez właściciela, mają charakter wyłącznie informacyjny i mogą podlegać aktualizacji. Oferta dotycząca nieruchomości nie stanowi oferty określonej w art. 66 i następnych KC.Zapraszamy do siedziby naszego biura w Warszawie przy ul. Brylowskiej 2 lok. 3B (Wola, Czyste).Dane adresowe:PROPERCO sp. z o.o. sp.kul. Brylowska 2 lok. 3B01-216 Warszawatel. kom: +48 602-230-227;1.0;;;;;;;;4.0;2;1;44,30 m²;blok;wtórny;680 zł;;;cegła;miejskie;plastikowe;1989.0;do remontu;1.0;;1.0;;1.0;;;;;;;;;;;;;;
4826;4826;43V6d;Wyjątkowy apartament na granicy Wilanowa/Mokotowa i Ursynowa!NIERUCHOMOŚĆ:Apartament składa się z:-Przestronnego salonu o powierzchni 40m2 i ekspozycji południowej,-2 Sypialni 18,85m2, 12,55m2 o ekspozycji południowej,-Gabinetu 17,08m2 z garderobą 2m2 o ekspozycji północnej,-Pracowni 14,38m2 malarskiej z pięknym widokiem na park o ekspozycji wschodniej i południowej,-Kuchni 15,45m2 o ekspozycji wschodniej,-Łazienki z wanną oraz pralnią wielkości 10m2,-Łazienki z prysznicem 5,5m2,-Toalety 1,5m2-Garderoby 2,25m2,-Schowka 2,45m2,-Przedpokoju,-Komunikacji,Pracownia oraz Gabinet mogą być przekształcone na sypialnie.Podłoga w mieszkaniu wykonana została z egzotycznego drewna.Dodatkowo mieszkańcy budynku mają dostęp do tarasu na dachu, siłowni i sali zabaw.OTOCZENIE:BUDYNEK:Copyright © by Lloyd Properties sp. z o.o., 2015 Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Lloyd Properties jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej.Ponadto niniejsze materiały stanowią tajemnicę przedsiębiorstwa Lloyd Properties sp. z o.o. w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.). Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.Zapraszam do kontaktuAdam Grygieńć  tel: 516-496-757  e-mail:   ;1.0;;1.0;;;;;1.0;9.0;5;1;173,50 m²;apartamentowiec;wtórny;2 300 zł;;pełna własność;cegła;miejskie;drewniane;2004.0;do wykończenia;;;;;1.0;1.0;;;1.0;1.0;;1.0;1.0;1.0;;;;;
4849;4849;44eYJ;Luxe Property oferuje do sprzedaży nowy, przestronny apartament o powierzchni 110m2 w bardzo kameralnej inwestycji z 2018 roku!Okna wychodzą na 3 strony świata - Pd, Pn, Zach. Mieszkanie jest w stanie deweloperskim. Pierwotnie miało posiadać 4 pokoje ale jedna ścianka została wyburzona (można łatwo przywrócić stan poprzedni).Do lokalu przynależy: - komórka lokatorska - dodatkowo płatna 20 tyś zł- 2 miejsca postojowe - dodatkowo płatne 70 tyś złBudynek, w którym znajduje się mieszkanie jest finansowany przez Roberta Lewandowskiego i został wykonany z najwyższej klasy materiałów. Inwestycja ta znajduje się w bardzo prestiżowej lokalizacji, zaraz przy Parku Szczęśliwickim! Każda osoba ceniąca sobie bliskość natury, aktywność na świeżym powietrzu lub możliwość spacerów z pupilem, na pewno doceni to miejsce. Serdecznie zapraszam na prezentację! Mateusz PiszczekTel: 514-059-874;;;;1.0;1.0;1.0;1.0;;3.0;4;2;110 m²;blok;wtórny;500 zł;;pełna własność;;;;2018.0;do wykończenia;1.0;;;;1.0;;;;;;;;;;;;;;
4942;4942;43sNY;| Na sprzedaż świetnie zlokalizowane i przestronne mieszkanie 1-pokojowe o powierzchni 30m2 z możliwością podziału na 2 pokoje ze względu na świetny układ okien. Położone na 1 pietrze w bloku 10 piętrowym, okna na wschód na małą uliczkę jednokierunkową. Cisza i zieleń. Przed blokiem kamera, domofon. Mieszkanie przeszło częściowy remont w 2018: nowe drzwi wejściowe antywłamaniowe, drzwi wewnętrzne, okna i parapety, cała kuchnia nowa, nowe WC. Całe widocznie wyposażenie mieszkania jest w jego cenie.Jest to mieszkanie idealnie nadające się jako inwestycja pod wynajem!Rozkład:-salon ok. 20m2 (klepka, nowa szafa, kanapa, telewizor, rolety)-kuchnia ok. 4m2 (nowe szafki, blat, zlew, indukcja, okap, lodówka)-łazienka ok. 3,5m2Do mieszkania przynależy piwnica. Jest to mieszkanie spółdzielcze własnościowe, grunty w trakcie regulacji. Sprzedaż gotówkowa.Świetna komunikacja - autobusy i tramwaje, Centrum Handlowe Klif - 100 m, Westfield Arkadia - 2 przystanki, kilka przystanków do metra, obok sklep spożywczy, pizzeria, basen, szkoła i przedszkole.Zapraszam serdecznie do kontaktu!::DODATKOWE INFORMACJE | Głośność: ciche | Telewizja kablowa: TAK | Odległość do komunikacji publicznej [m]: 200 | Odl. do sklepu [m]: 30 | Odl. do szkoły [m]: 30 | Odl. do przedszkola [m]: 260 | Winda: TAK | Liczba wind: 1 | Rozkład: jednostronne rozkładowe | Usytuowanie: jednostronne | Drzwi antywłamaniowe: TAK | Opłaty wg liczników: prąd | Rodzaj mieszkania: jednopoziomowe | Stan lokalu: Do wprowadzenia | Okna: nowe PCV | Balkon: brak | Powierzchnia użytkowa [m2]: 30 | Liczba pokoi: 1 | Wysokość pomieszczeń [m]: 2,5200 | ::LINK DO STRONY | ::KONTAKT DO AGENTA | Radosław Łęcicki | +48 733 833 873 | ::DANE BIURA | Aspect Nieruchomości - Warszawa Centrum | RESTA-ESTATE Sp z o.o. | Żurawia 6/12/745 | 00-503 Warszawa | +48 516 368 728 | -pozostałe oferty na wszystkie oddziały dostępne na  |  Mieszko.my;;;;;;;1.0;;10.0;1;1;30 m²;;wtórny;326 zł;2019-10-29;spółdzielcze własnościowe;;;plastikowe;;do zamieszkania;;;;;1.0;;;;;;;;;;;;;;
4968;4968;44pU6;"Ostatnie mieszkania w gotowej inwestycji.Kup i odbierz klucze do mieszkania już dziś - stan deweloperski. AKTUALNA PROMOCJA:Poprzednia cena: 636 579 zł Nowa cena: 606 047 zł ZAOSZCZĘDŹ aż 30 532 zł. Tylko do 31 stycznia (PIĄTEK).Zadzwoń i umów się na spotkanie: 573448983OPIS INWESTYCJI:• Kameralny budynek,• Teren zagospodarowany zielenią i elementami małej architektury,• Nowoczesna winda w każdej klatce schodowej,• Hala garażowa z komfortowymi miejscami postojowymi.Możliwość dokupienia miejsca postojowego w garażu podziemnym.Gotowy budynek, mieszkanie w stanie deweloperskim, możliwość szybkiego odbioru kluczy i wprowadzenia się. LOKALIZACJA I KOMUNIKACJA:• 800 metrów od Ronda Wiatraczna• 15 minut do Śródmieścia • 100m do przystanka autobusowego• 800m pętla tramwajowa• 2,5 km do dworca Warszawa-Wschód• 2 km do żłobka, przedszkola, szkoły podstawowej, gimnazjum, szkoła średnia• 500m sklep Biedronka, Fresh MarketDODATKOWE INFORMACJE:* Zakup BEZPOŚREDNIO od dewelopera, 0% prowizji i 0% podatku PCC.* Cena mieszkania w stanie deweloperskim. Rękojmia 5 lat.* Bezpłatnie pomagamy w uzyskaniu kredytu (oferta ponad 20 banków w jednym miejscu).* Oferujemy atrakcyjne pakiety wykończenia mieszkania ""pod klucz"" - już od 690zł/m2. Firma Deer Design.Godziny otwarcia BIURA SPRZEDAŻY:PONIEDZIAŁEK - PIĄTEK: 10:00-18:00SOBOTA: 10:00-14:00Zadzwoń teraz, umów się na spotkanie i umów się na obejrzenie mieszkania: 573448983";1.0;1.0;1.0;1.0;;1.0;1.0;1.0;5.0;4;2;78,60 m²;;pierwotny;;;;;;;2019.0;;1.0;;;;1.0;;;;;;;;;;;;;;
5014;5014;426wQ;"NOWOCZESNOŚĆ I TRADYCJA
 
Sierakowskiego 4 to kolejny etap inwestycji Portu Praskiego. Nowoczesny apartamentowiec, zaprojektowany przez pracownię MK – Architekci Sp. z o.o. Przy projektowaniu architektury postawiona na współczesne formy wyrazu w połączeniu z tradycyjnymi materiałami takimi jak cegła, w nowoczesnych proporcjach. Inwestycja powstaje między ulicami Sierakowskiego i Wrzesińską. W ofercie sprzedażowej są dostępne jednopoziomowe apartamenty i mieszkania od 29 m2 do 129 m2, komórki lokatorskie, boksy rowerowe i miejsca postojowe w dwupoziomowym garażu. Możliwy również będzie wynajem lokali usługowych znajdujących się na parterze.
 
MIASTO NOWEJ GENERACJI
 
Port Praski to prawdziwe „miasto nowej generacji”, zlokalizowane w ścisłym centrum Warszawy niedaleko Starego Miasta, w sąsiedztwie Stadionu Narodowego i dwóch stacji metra, a jednocześnie w pobliżu Wisły, parków i licznych zabytków.
Port Praski będzie łączyć ze sobą cztery dzielnice pełniące różne funkcje: mieszkaniową Starą Pragę, usługowo-handlowe Doki, biznesowe City i rekreacyjny Park Mediów. Wszystkie dzielnice będą wzajemnie się przenikać i tworzyć jedną spójną całość. Miejsce to stanie się samowystarczalnym „miastem w mieście”, które będzie odpowiadać na wszystkie potrzeby mieszkańców. To jedno z największych i najbardziej innowacyjnych przedsięwzięć architektonicznych w Polsce, a nawet w Europie.
Jako pierwszy realizowany jest obszar Starej Pragi - dzielnicy mieszkalno-usługowej. Zabudowa Starej Pragi nawiązuje do historycznej architektury stolicy. Ulice dzielnicy prowadzą na portowy bulwar, który wraz z budową Doków – kolejnej części Portu Praskiego – stanie się wyjątkowym miejscem na mapie Warszawy.
Obok Starej Pragi powstanie luksusowa dzielnica Doki. Tutaj znajdą się ekskluzywne budynki z kawiarniami i restauracjami. Teren dawnych doków portowych zostanie przebudowany na marinę z miejscem na kilkadziesiąt jachtów. Wokół mariny powstanie promenada ciągnąca się wzdłuż brzegu Wisły. Na styku Starej Pragi i dzielnicy Doki znajdzie się Stary Rynek - miejsce spotkań otwarte dla wszystkich warszawiaków, a także turystów.
Tuż przy stacji metra Stadion Narodowy powstanie dzielnica City, w której znajdą się cztery biurowce. Bliskość metra oraz atrakcyjna okolica sprawią, że miejsce to ma szansę stać się nowym biznesowym centrum Warszawy. W tej dzielnicy powstaną także luksusowe hotele.
Kolejną częścią Portu Praskiego jest Park Mediów, który będzie nowoczesnym miejscem przeznaczonym do aktywnego spędzania wolnego czasu. Planowane jest stworzenie kompleksu medialno-technologicznego, który umożliwi poznanie zagadnień z obszaru technologii, komunikacji i mediów.
Obecnie budowane jest zabezpieczenie przeciwpowodziowe, będzie ono chronić przed zalaniem nie tylko Port Praski, ale znaczący teren prawobrzeżnej Warszawy: Pragę Północ od ulicy Ratuszowej, po część Pragi Południe, aż do Gocławia.
Wszystkie budynki w Porcie Praskim wyróżniają się niezwykłą architekturą, a także wysoką jakością wykonania. Potwierdzają to zdobyte prestiżowe nagrody:
Budowa Roku 2013, Budowa Roku 2015, Modernizacja Roku 2015, Inwestycja Roku 2015, Budowlana Firma Roku 2015, 2016 oraz 2017, Budowa Roku 2016, Signum Temporis – Znak Czasu 2017, Top Builder 2018, Polski Herkules 2018.
 
ORIENTACYJNE ODLEGŁOŚCI OD PORTU PRASKIEGO DO WYBRANYCH MIEJSC:
700 metrów − stacja metra Dworzec Wileński
800 metrów – stacja metra Stadion Narodowy
1 000 metrów – Centrum Nauki Kopernik, Powiśle
1 500 metrów – Stare Miasto, Stadion Narodowy";;;;;;;;;;1;3;38,78 m²;blok;pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
5021;5021;42KeI;MIESZKANIE SPRZEDANE !!! Ciche 2-pokojowe mieszkanie z niepowtarzalnym panoramicznym widokiem na Warszawę.Zlokalizowane na Imielinie 12 min. spacerem od stacji metra, w nowoczesnym budynku z cegły (2006 rok budowy, całodobowa ochrona, dwie windy w pełnym zakresie pięter). Mieszkanie słoneczne (wystawa w kierunku zachodnim) i widne.Salon 19.81m. Na podłodze panel. Z salonu wyjście na balkon 3.48m.Oddzielna kuchnia o pow. 8.86m zabudowana pod wymiar meblami ze sprzętem AGD: lodówko-zamrażalka, kuchnia elektryczna, zmywarka i okap. Dodatkowo na wyposażeniu stół z dwoma krzesłami.Pokój 14.12m - na podłodze parkiet, na wyposażeniu duża szafa.Łazienka 4.66m z - terakota, glazura, wanna, szafkoumywalka, pralka, wc i szafki łazienkowe.W przedpokoju na podłodze terakota, duże szafa w stałej zabudowie.Do mieszkania przynależy miejsce postojowe w garażu pod budynkiem (zakup na życzenie, płatne dodatkowo 30.000 zł).Czynsz za mieszkanie około 600 zł.Okolica spokojna i zielona, w pobliżu wiele sklepów, baseny, kino, kawiarnie i restauracje.Pełna galeria zdjęć nieruchomości oraz pozostałe oferty dotyczące Ursynowa na stronie .Pośrednik odpowiedzialny: Marcin Daszkiewicz 504-217-464 (Licencja Zawodowa nr 6537).Powyższa informacja nie stanowi oferty w rozumieniu Kodeksu Cywilnego.Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Marcin Daszkiewicz (licencja nr: 6537) ;1.0;;;1.0;;1.0;1.0;;12.0;2;10;55,23 m²;blok;wtórny;600 zł;;spółdzielcze własnościowe;cegła;miejskie;plastikowe;2006.0;do zamieszkania;1.0;1.0;;;1.0;;;;;;;;;;;;;;
5028;5028;42Ujf;Szukasz własnego, gustownie wykończonego mieszkania w spokojnej okolicy?To mieszkanie jest właśnie dla Ciebie!!!To dwu pokojowe mieszkanie o powierzchni 54,9 mkw składa się z:- przestronnego, jasnego salonu - półotwartej kuchni- ustawnej sypialni- łazienkiMieszkanie zostało wykończone materiałami wysokiej jakości przy zachowaniu modernistycznego stylu dzięki temu mieszkanie nie wymaga dodatkowych nakładów finansowych. Ponadto meble widoczne na zdjęciach mogą zostać.Lokal usytuowany jest na drugim piętrze w 4-piętrowym budynku, który został oddany do użytku w 2010. Budynek znajduje się na ogrodzonym terenie, a bezpośrednio pod obiektem znajduje się parking podziemny dodatkowo płatny (cena do ustalenia).  Dodatkowym atutem jest bezpłatny parking dla gości.Stan prawny nieruchomości: pełna własność z założoną księgą wieczystą.W najbliższej okolicy znajdują się: Galeria  Północna oraz Auchan. Do przystanku autobusowego mamy 200m dzięki czemu dojazd do centrum zajmie 30 minut. Metro Młociny znajduje się 7 minut jazdy samochodem.Zapraszam na prezentację !!!Sebastian BacińskiDoradca ds. nieruchomościEteria Consultingtel. 504454606;;;;;;;;;4.0;2;2;54,90 m²;;wtórny;530 zł;;pełna własność;pustak;;;2010.0;;;;;;1.0;;;;;;;;;;;;;;
