id,cena,liczba_pieter,liczba_pokoi,pietro,powierzchnia,rok_budowy
46oV9,450000,5,2,4,38.99,2020
46oUU,690000,6,3,2,62.0,2016
46oUG,1040000,8,3,1,78.0,2017
45Ex8,798738,8,3,3,66.84,2000
46oTK,615000,10,3,2,61.5,1980
46oSR,576192,6,2,3,48.02,2018
46oSx,454999,7,2,1,42.3,2020
46oS1,630000,6,2,5,52.5,2006
45T49,1950000,5,4,5,131.0,2018
3YvlS,359000,7,1,5,27.71,2020
42mWR,725000,7,2,1,57.65,2012
43bpp,589000,12,2,10,48.43,2009
451sF,640000,1,3,0,71.33,2020
468Ht,695000,5,2,3,59.54,2002
46k8d,993920,11,3,6,62.12,2007
467fR,805000,10,4,7,82.49,2019
463hC,633000,4,3,1,55.1,1990
465Wz,587000,5,2,5,44.0,2019
45QJ2,760000,10,2,2,63.82,2012
45R9P,745000,10,3,6,71.0,2002
45msj,899000,2,4,1,100.47,2020
45ysp,575000,15,3,8,62.5,1979
45M6O,437780,10,1,6,37.1,2001
46oQb,628000,11,4,9,60.0,1974
46oQ8,514000,8,3,2,48.33,2019
46oPh,570000,3,2,3,56.5,1997
46oOX,635000,4,2,1,50.0,2002
46oOU,365000,10,1,2,21.0,2000
46oOT,595000,3,3,2,63.0,1995
3Khg4,430000,13,2,3,33.0,2019
44lmm,1520000,2,3,1,80.79,2018
46mkf,949000,6,4,5,70.0,2020
46oNh,715000,8,2,6,58.38,2013
46nEw,780000,12,2,7,40.72,2019
46nEl,1300000,9,4,6,100.5,2008
46oMn,381200,10,1,10,31.0,2021
46aQc,519000,6,2,4,44.0,2007
467Od,799800,8,3,5,69.07,2002
467FM,725000,3,4,3,84.4,1980
46oLB,564428,8,2,3,49.95,2021
44Yaw,560956,10,3,6,49.4,1970
46oLf,970000,3,3,0,88.8,1994
46oJX,495000,4,3,2,56.0,1986
460Z7,570000,10,3,2,50.0,1970
46gg4,390000,10,1,1,31.0,1980
465AI,550000,11,2,9,37.5,1970
45cA8,1255000,4,2,3,77.5,2018
46oHB,699000,6,3,2,62.74,2016
46oGx,849000,4,3,0,62.0,2020
46fNb,820000,7,3,3,69.0,1998
46oF9,395000,7,1,3,33.0,2001
45KUB,719999,5,3,1,69.12,2020
43bwt,1155000,4,5,4,128.34,1997
46m3V,1650000,8,5,8,120.0,2015
46oBn,325000,10,1,6,24.14,1973
46oAN,460000,10,2,4,48.0,1980
46oAJ,670000,5,2,1,56.0,2011
46oAB,755000,2,3,1,79.0,2001
44NRV,439000,10,2,2,37.0,1978
44P9j,489000,10,2,7,46.7,1970
46oA2,730000,2,3,1,66.9,1990
46ozY,339000,7,1,7,28.0,2020
461nG,629999,6,2,0,58.0,2018
4382T,679000,7,3,3,62.98,2014
42QfR,895000,11,3,6,93.3,2001
43rWs,1290000,3,2,1,61.6,2002
45Zzn,1730000,6,4,6,120.0,2020
46owG,350000,4,2,4,34.0,2019
43a0B,500000,4,3,1,53.1,1973
43rWt,599000,10,4,10,62.7,1972
44bmB,1050000,4,3,3,92.0,2006
452qv,360000,11,1,10,31.5,2001
45YVV,699000,10,4,3,58.25,1970
444dL,1190000,6,5,3,109.6,2000
46esB,1300000,3,5,3,132.6,2012
4644n,1260000,17,3,10,99.85,2010
45Qvc,665000,3,3,0,52.8,2020
465As,507780,5,2,2,48.4,2019
45W7a,439000,7,1,7,35.7,2009
465Ap,1550000,8,3,3,92.0,2002
45BGR,1049000,11,3,2,105.0,2006
44hJE,970000,10,3,1,85.0,2000
46byt,699000,5,2,4,45.24,2018
46otT,585000,10,3,10,48.0,1970
46oty,648000,4,2,1,59.0,1999
46otp,695000,12,3,3,57.08,2019
4691B,430000,8,1,1,38.36,2020
43YHM,525000,7,2,2,51.65,2004
46oq0,520000,10,2,0,41.5,1973
46opn,599000,3,3,2,65.7,1992
46onw,821945,9,3,4,62.66,2021
46onu,760506,9,3,5,62.57,2021
46onr,1179140,5,3,2,62.06,2020
46onl,813410,9,3,5,62.57,2020
46onb,919000,5,3,2,78.0,2008
46omL,419000,4,3,4,53.1,1976
46omG,484175,5,2,3,45.25,2020
46omE,449000,5,2,0,39.09,2020
46olG,370000,10,1,10,30.94,1974
46oln,610000,4,3,0,69.0,1989
46okW,820000,15,3,6,68.0,2008
46okS,900000,2,3,1,64.5,2019
46apK,515000,5,1,3,40.0,2000
46oka,840640,5,3,4,62.0,2020
46ok9,1264999,5,3,3,52.0,2016
46ok7,548999,10,3,5,46.0,1970
46ok3,760000,8,2,3,54.0,2009
46ojS,680000,10,4,8,64.0,1971
46ojL,492900,5,2,3,32.0,2020
46iQy,999900,6,3,4,82.96,2009
45RQ5,740000,7,3,1,57.0,2018
44VT2,710000,7,3,1,60.3,2010
46oiz,499000,10,6,6,47.0,1974
44JAq,799000,3,3,2,72.0,1998
46oh0,379000,10,3,1,30.47,1975
44QoS,910000,3,2,2,68.0,2016
46ofR,750000,8,4,7,75.4,2002
45KXS,895000,7,3,6,73.0,2019
45Ku9,583000,12,2,0,53.1,1977
46eRU,545000,4,3,2,48.0,1975
45Tl0,415900,10,2,6,31.06,1970
46ocB,700000,3,3,2,60.0,1984
46obE,1580000,2,4,1,158.0,2009
46ob9,447998,8,1,5,37.44,2021
46ob8,890480,8,4,3,91.84,2021
46exC,598644,8,3,1,55.43,2020
46258,410435,8,2,4,35.69,2020
45MC7,415900,10,2,6,31.06,1975
45PRU,590000,11,3,6,62.0,1980
46o9K,470000,4,2,1,44.0,1970
45Iho,595000,8,2,1,50.0,2020
46o91,699000,10,2,4,56.71,2011
44p7A,660000,10,3,1,69.0,1978
46f64,822000,4,2,1,59.1,2006
46o7C,1340000,8,4,7,104.0,2008
46o7B,1340000,8,3,7,104.0,2008
43s5M,1479000,4,3,4,128.0,1997
46o5R,400000,4,2,0,40.16,2020
44Z3x,399800,9,2,3,35.05,2021
46o5e,666291,7,2,7,54.17,2016
46o58,1200000,8,3,5,97.14,1999
46o4S,252300,4,1,3,23.1,2018
46o4Q,281000,5,1,2,25.1,2018
46a7r,1660000,8,4,5,97.0,2007
42Uj3,989000,11,3,2,71.3,2000
46o34,239000,26,1,7,20.0,2020
46o35,237000,26,1,6,18.5,2020
46o32,520000,26,2,6,42.0,2020
46o33,379000,12,2,8,27.5,2020
46o30,575000,26,2,6,46.1,2020
46o31,565000,26,2,8,45.3,2020
46o2W,630000,26,3,9,53.0,2020
46o2T,699000,26,3,8,62.0,2020
46o2R,695000,26,3,10,63.7,2020
46o2J,798000,2,3,0,63.5,2020
46o23,836000,6,3,5,72.7,1993
46o1j,502999,10,2,8,40.0,2021
46o0D,450000,4,3,3,52.0,1970
46o0k,407000,4,2,0,38.5,2021
46o0f,464500,10,2,5,37.0,2021
45QQx,683000,2,2,0,48.83,2020
463fZ,565000,10,3,7,49.09,1973
46nYj,578700,12,3,10,48.5,2011
44eov,845000,6,3,5,77.7,1997
46nXl,800000,6,3,1,63.0,2019
46nVZ,679000,3,3,0,63.5,1988
46nWB,387000,5,1,2,33.0,2020
46nWz,1150000,12,3,3,85.5,2009
46nW0,850000,4,4,3,87.9,1996
46nUT,920000,10,3,1,73.5,1980
46nUR,919000,8,3,3,79.0,2006
455F8,649000,6,2,4,54.28,2008
450jz,629000,16,3,1,48.1,1970
46nTr,720000,22,2,6,44.39,2010
46dYQ,525000,7,2,2,48.0,2021
462F0,1180000,7,4,1,88.7,2015
45L9l,1071225,2,3,2,79.3,2019
46nSL,779700,10,4,1,89.5,2021
45ZlW,775000,3,3,3,72.8,2004
46b87,480000,4,2,0,38.3,1970
44Ty0,998000,5,2,0,52.0,2014
468OO,469783,5,2,1,45.61,2020
45t5c,698000,7,3,3,68.49,2020
45UVM,780000,4,3,2,67.85,2019
3RWNa,1482365,11,1,0,135.0,2018
46f6k,740000,4,3,3,67.28,2019
45rSc,532000,4,3,2,61.52,2020
3Zjy0,361952,11,2,1,37.1,2019
45z8Y,996617,12,4,7,86.0,2021
46ahD,340000,10,1,6,24.51,1970
456sN,823860,6,2,6,45.77,2019
45Q8J,712000,7,4,2,80.0,2020
464tV,666288,6,3,4,59.49,2021
464xx,387204,6,1,4,31.48,2021
467vG,495600,5,2,4,42.0,2020
468zt,984055,6,2,6,45.77,2019
45z9n,583668,12,2,5,43.0,2021
46cxS,999000,7,4,2,101.71,2019
46cxU,699000,4,3,4,60.67,2019
46fgd,1312059,7,4,2,101.71,2019
46b2Q,227640,20,1,4,18.0,2021
46cxT,437500,7,2,6,38.08,2021
46cyy,466281,5,2,1,45.27,2020
46erB,590000,10,3,10,47.0,1980
40gcM,377520,6,2,1,35.09,2020
45xDd,570000,6,2,2,46.6,2012
45UpF,549000,7,2,5,44.0,2020
46g49,630000,7,2,3,42.0,2020
45J6Q,1071225,2,3,2,79.35,2019
46nP3,643000,2,3,2,75.6,1995
46nOv,849000,5,3,0,63.45,2013
46nOg,650000,4,4,2,61.0,1980
46nOi,489000,10,3,1,48.1,1970
46nNO,789000,12,2,7,40.72,2019
46nND,819000,7,3,6,68.0,2009
46nMv,538999,1,3,1,81.0,2020
46nMb,769000,5,3,3,67.0,2019
46nLp,619000,4,3,1,62.0,1992
46nLC,560000,7,2,1,48.0,2004
46nKT,359000,11,1,8,28.0,2003
46nK5,670000,6,2,3,54.0,2007
46nJM,1150000,12,3,7,83.0,2015
46nJw,930000,5,4,5,92.0,2000
40YUP,1840000,2,2,1,92.0,2018
40XrS,1272600,2,2,0,63.63,2018
46nIJ,849000,7,3,4,69.0,2019
46hgb,565000,6,2,1,47.3,2006
45Gw7,539000,7,3,3,53.9,2020
46nI5,549000,8,2,5,44.0,2020
466vH,890000,4,3,1,73.2,2006
469HR,649000,10,4,8,65.0,1970
46nEi,650000,6,3,0,66.25,2020
46nE8,558750,4,3,0,52.0,1978
46nDY,576192,6,2,3,48.02,2018
46nDd,601750,6,2,0,41.5,2018
45mTA,578900,4,3,3,48.0,1970
46nCt,439000,8,2,5,44.0,2020
46nBX,498000,2,2,0,45.5,2002
46ndB,560000,12,3,4,63.0,1970
46kZ6,405000,12,1,1,27.0,2018
46nAM,450000,3,2,1,36.2,1970
469BR,579000,6,2,3,45.0,2020
462EA,588000,6,2,3,38.0,2019
45Fgx,622000,4,3,1,63.77,1988
46ewK,779000,8,3,7,68.4,2007
456Gj,659999,4,3,4,65.0,1971
46nyE,495600,6,2,4,45.2,2020
46nxZ,970000,10,3,1,85.0,2000
46nxP,864000,5,3,4,64.0,2020
46kTM,599000,4,3,0,68.8,1989
45ZfQ,435000,8,2,5,44.0,2020
46eTd,1800000,6,6,1,145.0,1999
451WN,409000,4,3,4,53.1,1974
46nso,590000,4,3,4,63.3,1986
44Lp1,560000,5,3,4,64.37,1993
46nrf,690000,2,3,1,73.62,2009
46nnr,1099000,6,3,1,98.0,2008
46fof,635000,3,3,1,65.17,1998
46fH2,579000,3,2,3,56.14,1997
46nr0,549000,14,2,9,36.9,2019
46jVt,629999,5,2,0,58.71,2018
46mgh,699000,6,3,2,62.74,2016
46mz3,540000,6,2,3,40.0,2020
46npP,433000,4,2,3,40.63,2020
46npN,550000,4,3,3,60.03,2020
46npH,786996,8,2,0,48.58,2019
46npC,886972,2,4,2,96.41,2018
46npB,578995,6,2,1,53.81,2019
46npx,340930,6,1,3,27.74,2020
46npv,485792,8,2,1,35.72,2019
46npu,469810,15,2,8,42.71,2021
46npt,653598,7,3,0,57.34,2019
46noD,741825,4,2,1,54.95,2020
46no6,331332,10,2,3,27.43,2021
46nnl,511012,8,1,3,31.86,2020
46mCT,629000,10,3,10,63.0,1982
46i29,429000,7,2,6,39.34,2020
46kJ9,779000,7,3,4,56.25,2020
46d3d,990000,6,3,6,83.41,2009
451rg,627000,6,2,0,52.31,1989
44PXf,540000,15,2,9,52.2,1993
3Wt0k,557000,12,3,3,53.0,2019
3Vncg,530000,12,2,4,47.0,2019
45jPa,799000,8,3,5,71.37,2019
45vpQ,250000,5,1,4,24.0,2018
46njR,529000,4,3,1,52.9,1980
46njN,507000,10,2,9,38.0,1970
46njd,868000,7,3,5,58.2,2019
46nj2,509000,13,2,2,42.0,2003
45hH6,500000,10,2,9,38.0,1970
46nfD,450000,10,2,5,49.0,1970
44jnn,460000,7,2,3,43.81,2020
469mp,743600,12,3,1,52.3,2014
43MQI,930000,10,3,1,74.0,2012
46ewF,1105000,4,3,0,85.0,2010
469iy,2650000,6,4,1,113.08,2015
46ndI,680000,5,2,5,56.5,2001
44Wze,419000,4,2,0,37.12,1979
45Ife,514000,8,2,1,44.23,2001
42ORF,1047600,4,3,2,96.77,2009
42ORI,924000,5,4,1,110.0,2003
46nbY,624000,4,3,0,63.0,1994
3yQF9,569000,3,3,3,46.2,1980
46nbB,524747,8,2,2,46.87,2021
43chs,2900000,4,4,2,170.0,2002
46nbk,902590,7,2,2,68.9,2006
464K7,620000,5,3,2,65.0,2020
46nba,470000,7,2,2,42.7,2019
46naw,990000,8,3,6,75.0,2019
46lkC,430000,10,2,0,41.6,1978
461Ey,685000,7,3,5,66.69,2008
46n9S,499000,9,2,8,47.5,1970
46n9Q,999900,6,3,4,82.96,2009
46n8U,460000,12,2,1,38.3,2002
468BS,677374,8,3,7,64.72,2021
46n6J,1550000,13,4,6,107.0,2003
46n6G,1125000,9,5,6,107.0,2011
46n6B,730000,6,3,1,51.0,2019
46n6x,780000,6,3,6,60.0,2020
46n6w,599000,3,3,2,63.0,1987
46n6f,670000,7,2,6,53.0,2016
46n62,1420000,7,3,1,84.0,2019
462ne,829000,6,3,1,65.5,2014
44K72,685000,23,3,8,62.0,2021
45Fdw,385000,12,1,8,28.0,2021
45TWc,1650600,13,6,9,183.4,2019
45TYq,385000,12,1,8,27.5,2021
45tYJ,385000,12,1,0,28.0,2021
44Kim,280000,20,1,3,18.0,2021
45TWY,275000,20,1,5,18.0,2021
45FfV,601000,12,2,5,43.0,2021
45TYF,601000,12,2,5,43.0,2021
45U5O,638000,26,3,10,51.0,2021
45vNo,810000,8,2,4,65.0,2007
46anF,715000,7,3,6,65.7,2005
46n2v,479600,10,2,3,40.03,1970
45MBP,520000,5,2,1,43.11,2018
46n1G,1000000,6,3,1,116.0,2000
45TAY,365000,4,1,3,32.0,2013
4698d,798000,2,3,0,63.5,2020
46n1j,390000,4,2,1,38.0,2017
46n0M,285000,4,1,3,27.0,2018
45YVW,795000,4,2,3,57.0,2016
46n08,759000,6,3,4,63.3,2013
46mZR,260000,4,1,3,24.0,2018
46mZN,665000,7,2,1,56.0,1998
46mZF,559000,6,2,1,50.83,2021
46c8B,499000,7,2,2,40.0,2020
46mZd,1008000,3,3,1,84.0,2006
4695h,1495000,7,5,2,107.0,2021
45U5D,993300,5,3,2,94.6,2009
44Tp5,532000,2,2,1,38.0,2018
46mX7,1300000,6,4,6,78.0,2018
40ORE,495000,5,2,3,45.2,2019
46mVA,415212,8,1,5,34.7,2021
45hXo,580000,6,2,2,46.0,2010
454J0,380000,10,2,6,38.0,1970
44eu2,599000,7,3,1,57.84,2020
44DGL,565000,5,2,3,45.2,2020
46ke9,599000,6,2,2,44.0,2020
46mTK,342000,7,1,3,29.0,2021
46mTl,864000,5,3,4,64.0,2019
44SvB,700000,5,3,3,59.47,1987
46dG4,790850,8,4,5,79.9,2021
45rgI,695000,7,3,6,59.0,2020
45YNz,667000,4,4,0,58.0,1970
44E3Y,1380000,5,4,2,80.0,2014
44SDm,285000,11,1,3,21.0,2020
44SDn,420000,11,2,6,31.0,2020
44SEo,420000,11,2,7,32.0,2020
44SEr,420000,11,2,6,31.0,2020
45m13,2790000,12,3,7,86.0,2019
46mQo,675000,5,2,5,50.0,2013
46mPN,399000,4,2,0,40.55,2020
46mPH,580000,4,2,2,54.78,2012
46mOR,995000,8,3,5,65.0,2019
46mNP,690000,10,2,5,56.4,2010
45HA9,762000,6,2,4,56.47,2020
46mN6,1027440,15,4,8,85.62,2020
46mLl,728000,5,3,5,61.3,2013
46mKS,513000,4,3,1,47.4,1970
46mKL,759000,6,3,4,63.0,2012
46mKu,495000,5,2,0,48.0,2020
45RGt,439000,10,3,6,50.0,1973
46bO1,428000,10,2,4,36.0,2020
46aoQ,479000,10,3,8,51.2,1971
46mI3,540000,6,2,4,39.0,2001
46mFW,430000,10,2,4,41.13,1975
46mES,593000,6,2,5,50.7,2020
442v4,415300,7,2,1,41.12,2020
46mD3,629000,8,2,4,44.0,2021
46d2T,1249000,12,4,1,92.0,2017
3KkqA,1249000,14,4,5,103.0,2012
46eIk,540000,11,3,8,56.0,1982
46myb,630000,9,3,3,66.4,1981
46mvW,779000,7,3,4,56.0,2020
43SLh,497890,5,2,2,45.4,2020
45d8Y,399900,5,2,1,35.05,2021
46mtx,949000,6,4,5,70.0,2020
46mtv,378218,10,1,8,27.4,2021
45Vog,429000,6,2,1,33.65,2020
45jNG,500000,5,2,1,44.43,2020
46mqS,1099000,12,3,1,71.0,2020
45SkS,1240000,3,3,1,77.6,2013
466PG,613500,2,4,1,85.0,2020
466PP,840000,2,5,2,125.0,2020
46aPo,1550000,2,4,1,158.0,2009
46h2b,1360000,2,3,1,95.0,2020
45wHa,630000,7,3,1,61.0,2020
3DH1y,435000,6,2,3,38.58,2018
45aua,452000,7,2,3,43.68,2020
46mnb,999900,6,3,4,82.96,2009
468w6,2300000,3,7,0,162.0,2005
46mlO,487000,5,2,3,32.0,2020
46mkh,849000,7,3,4,69.9,2020
46mjK,601750,6,2,0,41.5,2018
45T4N,489000,3,3,3,52.1,2020
46mj7,479000,10,3,8,51.0,1988
46mir,499000,10,1,5,39.5,2009
46mhq,713000,5,3,1,70.5,2020
46mhp,689000,5,3,3,70.0,2020
46fkG,599999,5,3,3,54.0,1970
46mgU,800000,6,2,1,39.9,2016
468pl,790000,4,4,1,74.25,2016
468on,620000,6,2,1,51.0,2011
46mfB,520000,5,2,1,44.0,2013
45YMw,1000000,8,3,1,76.71,2005
42X5Q,659000,10,2,2,56.2,2009
45Ggy,1099000,12,3,1,71.0,2019
46md6,399000,10,3,2,39.0,1972
46md1,549000,10,3,5,46.0,1975
